"0,1-d","2,1-d","3,1-d"
66,20,190
145,46,1005
55,6,15
88,40,715
59,14,70
55,6,15
53,2,0
68,32,300
63,12,60
55,6,15
56,8,30
60,14,85
55,6,15
57,10,50
69,26,205
57,10,50
53,2,0
54,4,5
59,14,105
59,14,105
59,14,105
53,2,0
54,2,0
52,0,0
52,0,0
36,10,40
314,10,40
208,10,40
8,6,15
4,4,5
10,4,5
207,6,15
17,6,15
213,46,790
155,16,135
155,22,240
241,46,960
154,18,170
279,82,1565
211,56,1075
161,26,255
206,50,890
203,44,850
187,48,855
264,84,1750
155,14,90
210,64,1380
162,16,125
156,18,140
147,6,15
175,32,545
155,18,165
286,86,1390
161,26,255
175,34,555
152,14,105
167,26,315
157,18,135
156,20,190
152,10,50
453,140,2550
152,16,140
149,10,35
175,38,635
347,118,2390
154,20,205
153,18,175
149,6,15
154,20,205
153,14,105
269,52,1095
153,18,175
228,46,930
222,50,885
153,16,140
148,6,15
182,42,705
237,46,870
161,24,250
149,4,5
163,28,305
152,16,105
172,32,540
151,8,25
172,38,620
150,10,50
146,4,5
148,8,25
152,10,50
149,8,25
145,2,0
160,22,140
147,4,5
153,16,110
149,10,50
157,18,160
152,12,75
147,6,15
182,46,780
152,14,105
147,2,0
152,12,70
156,12,60
145,2,0
146,4,5
145,2,0
146,4,5
163,26,250
145,2,0
146,4,5
146,4,5
148,8,30
145,2,0
147,6,15
146,2,0
147,6,15
147,6,15
147,6,15
151,12,55
146,4,5
145,2,0
145,2,0
146,4,5
145,2,0
161,14,95
150,8,20
145,2,0
148,8,30
145,2,0
145,2,0
144,0,0
144,0,0
145,2,0
144,0,0
145,2,0
144,0,0
144,0,0
144,0,0
144,0,0
144,0,0
144,0,0
144,0,0
145,2,0
144,0,0
144,0,0
145,2,0
144,0,0
144,0,0
144,0,0
144,0,0
145,2,0
144,0,0
144,0,0
144,0,0
144,0,0
145,2,0
144,0,0
145,2,0
144,0,0
145,2,0
144,0,0
144,0,0
144,0,0
144,0,0
210,4,5
7,0,0
7,0,0
7,0,0
7,0,0
7,0,0
204,34,480
136,48,1010
131,50,990
112,26,300
189,52,1050
135,48,920
96,40,755
211,78,1355
86,30,325
82,22,195
378,54,1060
272,50,915
79,18,125
147,80,1430
77,10,50
107,44,695
86,24,255
72,6,10
90,32,525
75,12,70
97,34,605
97,38,675
84,24,265
90,32,570
89,30,420
73,6,15
76,14,95
77,16,115
81,22,190
105,18,175
90,30,500
75,12,75
78,18,135
74,10,50
79,16,105
107,48,945
73,8,30
73,8,30
73,8,30
73,8,30
73,8,30
73,6,15
70,2,0
70,2,0
72,4,5
71,4,5
70,2,0
75,12,75
85,18,135
75,10,30
72,6,15
70,2,0
69,0,0
69,0,0
70,2,0
71,4,5
69,0,0
69,0,0
70,2,0
69,0,0
69,0,0
69,0,0
70,2,0
70,2,0
26,10,45
42,8,30
20,4,5
146,18,155
23,18,135
320,18,150
214,20,165
16,10,50
49,16,125
15,8,30
16,10,45
74,12,70
127,14,75
149,12,70
9,4,5
45,10,50
146,22,240
28,16,140
54,16,140
23,16,140
320,22,240
214,22,240
95,18,175
232,80,1525
110,22,190
156,50,1060
124,34,500
140,40,700
217,42,780
163,50,1050
109,20,190
101,6,15
117,32,495
128,44,835
105,10,30
239,28,390
120,34,520
112,22,195
105,10,50
103,10,35
119,36,440
406,78,1645
108,20,200
108,20,205
106,10,50
105,16,140
300,82,1550
158,44,765
120,36,455
100,6,10
222,78,1555
181,74,1390
111,18,175
190,80,1495
107,14,100
99,4,5
110,16,85
103,8,30
108,16,140
100,6,15
106,8,30
133,50,935
98,2,0
101,6,15
111,16,120
98,2,0
102,6,10
110,20,220
99,4,5
99,4,5
113,24,230
99,4,5
98,2,0
99,4,5
102,10,50
116,24,240
104,10,40
102,10,50
100,6,15
103,12,60
98,2,0
100,6,15
102,10,50
102,10,50
104,14,65
105,14,85
99,2,0
101,8,15
98,2,0
99,2,0
100,6,15
100,6,15
114,22,190
98,2,0
99,4,5
100,6,15
104,14,105
104,14,105
104,14,105
99,4,5
99,2,0
97,0,0
97,0,0
98,2,0
98,2,0
97,0,0
97,0,0
97,0,0
97,0,0
97,0,0
319,18,170
213,18,170
20,18,170
19,16,140
20,18,170
19,16,140
11,0,0
141,12,75
143,12,65
152,22,235
197,30,400
194,52,1000
162,34,555
178,46,790
201,54,1140
147,22,200
155,36,560
166,42,830
143,10,40
277,42,670
152,18,170
158,38,555
158,24,275
148,16,115
141,8,30
147,18,170
138,6,15
157,32,420
444,122,2330
146,22,225
166,38,590
338,108,2080
143,14,75
144,14,105
196,52,885
140,10,50
158,26,310
260,78,1540
219,68,1415
213,34,505
173,30,390
228,66,1295
152,20,180
142,14,105
142,10,50
143,12,60
154,18,165
138,6,15
141,8,25
138,4,5
155,18,155
142,12,75
139,8,30
138,6,15
137,4,5
146,18,155
138,4,5
146,12,75
137,4,5
171,58,1050
151,16,105
142,10,40
140,4,5
148,26,280
138,6,15
137,4,5
137,2,0
147,12,60
139,8,30
137,2,0
141,10,45
137,4,5
140,10,50
154,26,255
137,4,5
140,10,50
136,2,0
141,12,60
137,4,5
138,6,15
138,6,15
147,16,100
136,2,0
135,0,0
143,14,95
135,0,0
135,0,0
136,2,0
135,0,0
136,2,0
135,0,0
138,2,0
135,0,0
135,0,0
135,0,0
135,0,0
136,2,0
135,0,0
137,4,0
135,0,0
136,2,0
140,10,30
137,4,5
152,16,105
136,2,0
135,0,0
144,16,115
139,6,10
135,0,0
135,0,0
135,0,0
136,2,0
135,0,0
136,2,0
135,0,0
135,0,0
136,2,0
135,0,0
135,0,0
135,0,0
135,0,0
135,0,0
136,2,0
138,6,15
135,0,0
135,0,0
135,0,0
135,0,0
148,12,75
315,12,75
209,12,75
4,0,0
19,2,0
29,6,15
33,6,15
24,6,15
327,14,75
221,16,80
111,20,85
20,2,0
35,8,30
27,4,5
20,4,5
20,4,5
18,0,0
18,0,0
26,12,70
29,10,50
209,12,70
90,10,50
124,8,30
313,8,30
2,2,0
205,4,5
72,18,140
79,18,175
24,16,140
138,20,180
106,18,175
20,6,15
15,4,5
14,2,0
13,0,0
11,6,15
6,6,15
206,6,15
129,52,1075
110,28,370
187,78,1560
133,50,1000
78,18,165
94,42,815
209,88,1590
80,20,195
98,52,880
376,70,1315
98,26,330
270,68,1185
192,28,385
151,26,305
145,54,1095
105,38,640
77,14,95
86,18,170
88,36,610
75,14,105
77,18,145
95,46,760
74,12,70
95,44,810
82,20,225
73,10,50
88,34,635
69,4,5
87,30,400
70,6,15
68,2,0
74,10,50
73,12,70
76,12,70
68,2,0
88,32,525
80,20,205
72,8,25
76,14,105
72,10,50
68,2,0
69,2,0
105,56,1135
75,16,130
70,6,15
74,14,75
72,8,30
74,4,5
73,12,75
70,6,15
70,6,15
68,2,0
68,2,0
69,4,5
69,4,5
68,2,0
69,4,5
67,0,0
67,0,0
211,14,80
16,12,55
21,10,45
20,8,25
8,0,0
159,16,135
40,16,135
29,16,140
326,28,250
220,24,250
36,18,150
18,2,0
21,8,30
18,2,0
18,2,0
18,2,0
182,60,1180
128,54,1035
66,8,30
89,42,765
204,68,1250
93,36,630
371,64,1220
265,50,865
187,28,320
140,62,1125
100,38,630
69,12,70
68,8,10
68,10,50
66,8,30
70,14,105
90,38,695
64,4,5
90,36,655
77,22,250
66,8,30
83,32,570
