"0,1-nd","2,1-nd","3,1-nd"
169138,0,0
170089,742,18080
169907,618,12330
169788,474,8240
170114,828,36655
170034,754,20805
169235,104,0
169598,368,8855
169258,196,0
169717,438,6835
169258,196,0
169138,0,0
169138,0,0
170545,1272,51235
169280,162,0
169390,274,8255
169163,48,530
169242,82,0
169144,16,25
169146,14,0
170160,968,31570
169138,0,0
169141,8,0
169341,216,0
169147,18,0
169164,46,300
169795,534,8415
169404,270,5895
169138,0,0
169831,610,12015
169382,294,5165
169138,0,0
169138,0,0
169242,82,0
170043,908,24500
169275,256,6795
169138,0,0
169826,612,10440
169138,0,0
169138,0,0
170152,1002,31630
170905,1666,69805
169264,210,2785
169810,584,10320
169139,4,0
169382,240,6905
169466,320,8180
170992,1688,89660
169190,62,0
169138,0,0
169258,196,0
169688,384,0
169713,410,5290
169138,0,0
169881,588,13820
169176,76,0
169411,360,6010
170782,978,27620
169688,384,0
169138,0,0
170009,608,13055
169139,4,0
169144,16,25
170304,1172,41395
169914,648,15215
169271,226,2865
169784,484,8475
169330,194,4880
170143,938,26810
169477,274,5335
169688,384,0
169973,680,17080
170262,978,26090
169140,6,0
169138,0,0
169143,10,0
169267,216,2895
169139,4,0
169138,0,0
169258,196,0
169552,318,7510
169374,258,7385
169209,136,1600
169205,112,0
169138,0,0
169340,206,5430
169825,528,10015
169139,4,0
169342,252,0
169625,480,13565
169138,0,0
169138,0,0
169447,216,0
172808,3658,235455
169138,0,0
169832,550,10145
170286,1242,45575
170318,1018,30045
169688,384,0
169692,394,5125
169341,216,0
169525,350,7005
170206,828,23435
169301,174,85
170073,950,30265
169692,394,5125
170565,1146,51150
169138,0,0
169222,94,0
169161,22,0
169893,604,12300
169534,420,11685
169138,0,0
170128,924,25525
169138,0,0
170458,1136,39660
170129,946,30440
170239,886,26335
169688,384,0
169777,476,8515
169189,92,0
169138,0,0
169696,400,5180
169138,0,0
169440,324,6915
169690,384,0
46044,172,0
26723,920,60110
3031,196,25015
9641,808,62015
20235,1020,61055
25672,1072,62230
3975,294,35970
5537,546,61580
3490,116,10950
6036,602,48855
2119,20,0
1975,0,0
26559,736,41400
101748,952,41400
3919,124,10665
1948,16,0
2697,72,3760
1627,24,3470
3169,72,3850
24217,922,60750
3024,86,3890
102081,1194,60140
4742,316,29365
12677,786,59810
4129,306,28960
14257,774,60750
6414,560,45335
2701,36,0
3084,144,7885
3041,114,5495
3054,40,0
2709,48,285
2378,32,0
2151,0,0
2151,0,0
2151,0,0
30759,2396,257755
8301,620,82330
19062,2844,306815
28084,2850,290380
12778,1892,268285
9410,1332,176520
24271,2026,217705
14275,2208,277690
9863,1572,220435
9148,1242,170875
8716,1018,115510
7237,388,25710
105948,3542,308565
7409,732,64325
10046,1366,184335
7191,388,25155
51598,3194,302500
12817,1790,227740
8609,1148,104635
6398,140,4100
25259,2818,308395
16544,2664,310995
7996,732,73230
18124,2376,293385
6602,148,4945
10281,1724,200585
7298,358,21045
6646,180,6905
6454,62,0
7829,870,55155
7242,364,19375
7011,210,11600
6902,250,13220
6605,410,20085
6244,164,4285
6335,254,6315
7045,642,28425
6335,254,6315
6174,66,0
6171,106,1855
6361,360,9850
6361,360,9850
6361,360,9850
6146,72,0
6156,52,0
6049,0,0
6049,0,0
4775,232,17465
100860,534,17465
46510,522,17465
1463,48,4975
504,16,60
1659,26,60
46640,436,10355
3311,84,10355
32565,2528,218640
26922,996,68835
27066,1180,92740
37827,2964,287260
26344,806,37095
46849,3838,335340
32442,2916,252820
27237,1214,82265
31767,2634,245020
31543,2428,267735
29916,2396,261290
43036,4038,383450
26532,770,43255
33040,3496,375250
27156,962,66105
26673,870,55745
25650,324,11870
28628,1890,203485
26347,886,59560
48473,3696,290335
27299,1262,94400
28338,1904,167360
26935,978,73600
27739,1452,120030
26964,986,67745
26936,1048,67640
26002,514,24190
124713,5712,448895
26962,972,81790
25808,446,15055
28811,2070,211895
70363,5312,435370
26352,850,38320
26328,812,37510
25693,362,14145
26352,850,38320
26928,936,73380
44024,3146,309620
26328,812,37510
35309,2814,282780
34043,2742,228880
26319,766,36075
25911,440,17305
